Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,P&L,R_Multiple,Exit_Reason
2024-04-05 00:00:00+01:00,2024-04-09 13:00:00+01:00,short,1.0838934183120728,1.0884464972019194,1.0884464972019194,1.072510721087456,32944.739950475785,-152.3061317965333,-1.0153742119768887,stop_loss
2024-04-22 14:00:00+01:00,2024-04-23 08:00:00+01:00,short,1.0636035203933716,1.0678834664225578,1.0678834664225578,1.052903655320406,34513.38101362401,-150.13134469400566,-1.016355346427887,stop_loss
2024-04-18 19:00:00+01:00,2024-04-23 14:00:00+01:00,short,1.0648492574691772,1.0698246869444847,1.0698246869444847,1.0524106837809084,29688.976349910554,-149.79363636754573,-1.014069137216677,stop_loss
2024-04-29 19:00:00+01:00,2024-04-30 16:00:00+01:00,long,1.0727311372756958,1.0687553969025612,1.0687553969025612,1.0826704882085325,36022.60707839201,-145.7381158026162,-1.0176067834994993,stop_loss
2024-04-19 15:00:00+01:00,2024-04-30 21:00:00+01:00,long,1.0673497915267944,1.0673497915267944,1.0673497915267944,1.0834049223363396,23001.277562813586,-1.6100894293969508,0.0,stop_loss
2024-04-30 15:00:00+01:00,2024-05-03 09:00:00+01:00,short,1.0694043636322021,1.0743047844171523,1.0743047844171523,1.0571533116698268,29225.354228144402,-145.26230810309886,-1.0142844876127741,stop_loss
2024-05-02 19:00:00+01:00,2024-05-09 08:00:00+01:00,long,1.073306918144226,1.073306918144226,1.073306918144226,1.0883948509395123,23364.08707240215,-1.6354860950681505,0.0,stop_loss
2024-05-01 21:00:00+01:00,2024-05-15 22:00:00+01:00,long,1.0716965198516846,1.0890117302536964,1.0716965198516846,1.0890117302536964,20358.734741719436,351.0906641396987,0.0,take_profit
2024-05-23 13:00:00+01:00,2024-05-23 19:00:00+01:00,long,1.0856584310531616,1.0810080356001854,1.0810080356001854,1.097284419685602,30979.989709384663,-146.23780255742838,-1.0150524833227248,stop_loss
2024-05-23 18:00:00+01:00,2024-05-27 10:00:00+01:00,short,1.0814317464828491,1.086909359693527,1.086909359693527,1.0677377134561543,26301.45607888585,-145.91030520329346,-1.0127792885893334,stop_loss
2024-05-24 13:00:00+01:00,2024-05-30 01:00:00+01:00,long,1.0855406522750854,1.0801901921629906,1.0801901921629906,1.0989168025553226,26516.53003051027,-143.73179334154574,-1.013082986983075,stop_loss
2024-05-31 11:00:00+01:00,2024-06-07 13:00:00+01:00,long,1.0853049755096436,1.0853049755096436,1.0853049755096436,1.096339837759733,31158.296688325874,-2.181080768182811,0.0,stop_loss
2024-06-12 12:00:00+01:00,2024-06-13 15:00:00+01:00,long,1.076774001121521,1.076774001121521,1.076774001121521,1.0887969718873496,28590.74750071503,-2.001352325050052,0.0,stop_loss
2024-06-24 10:00:00+01:00,2024-06-26 14:00:00+01:00,long,1.0725010633468628,1.067613704621792,1.067613704621792,1.08471946015954,28127.31293073771,-139.43718016999057,-1.0143226646411114,stop_loss
2024-06-25 14:00:00+01:00,2024-07-01 02:00:00+01:00,short,1.0704345703125,1.0753439742922781,1.0753439742922781,1.0581610603630547,28001.009660454063,-139.42833894107073,-1.0142583499521185,stop_loss
2024-06-13 15:00:00+01:00,2024-07-01 07:00:00+01:00,short,1.0773539543151855,1.0773539543151855,1.0773539543151855,1.0599444253742696,19744.68824176017,-1.3821281769232119,0.0,stop_loss
2024-07-16 15:00:00+01:00,2024-07-17 08:00:00+01:00,short,1.088139295578003,1.0912958310842513,1.0912958310842513,1.080247956812382,42218.613822566134,-136.2198565230988,-1.0221762118187596,stop_loss
2024-07-18 16:00:00+01:00,2024-07-24 09:00:00+01:00,short,1.0915838479995728,1.0830474314093592,1.0915838479995728,1.0830474314093592,38429.84181972492,325.36305034180094,0.0,take_profit
2024-07-23 10:00:00+01:00,2024-07-25 18:00:00+01:00,short,1.087074637413025,1.087074637413025,1.087074637413025,1.0786031936109066,38724.58425412113,-2.710720897788479,0.0,stop_loss
2024-08-02 11:00:00+01:00,2024-08-05 08:00:00+01:00,long,1.082602620124817,1.0950391770899293,1.082602620124817,1.0950391770899293,27351.026701163493,338.2380297542477,0.0,take_profit
2024-08-06 11:00:00+01:00,2024-08-13 19:00:00+01:00,short,1.0911074876785278,1.0992089644074439,1.0992089644074439,1.0708537958562379,17420.85002749001,-142.35407059757088,-1.0086404000581959,stop_loss
2024-09-11 07:00:00+01:00,2024-09-11 13:00:00+01:00,long,1.1048502922058105,1.1012560947537422,1.1012560947537422,1.1138357858359815,38673.25095250214,-141.70642760335818,-1.019475835964359,stop_loss
2024-09-12 16:00:00+01:00,2024-09-17 09:00:00+01:00,long,1.1043622493743896,1.114249393939972,1.1043622493743896,1.114249393939972,34609.007361715085,339.7616285412616,0.0,take_profit
2024-09-19 09:00:00+01:00,2024-10-01 14:00:00+01:00,long,1.1164453029632568,1.1068660193681719,1.1068660193681719,1.1403935119509692,14820.53711444506,-143.00756564876275,-1.0073074358124148,stop_loss
2024-09-25 19:00:00+01:00,2024-10-10 15:00:00+01:00,short,1.1135857105255127,1.092200087308884,1.1135857105255127,1.092200087308884,16596.44502905583,353.76356897484504,0.0,take_profit
2024-10-28 13:00:00+00:00,2024-10-29 12:00:00+00:00,long,1.08236825466156,1.077976629316807,1.077976629316807,1.0933473180234428,33047.32455696341,-147.4447808196303,-1.0159394289140882,stop_loss
2024-10-29 12:00:00+00:00,2024-10-30 08:00:00+00:00,short,1.0780508518218994,1.083495764672756,1.083495764672756,1.0644385696947576,26654.507074031182,-146.99728359582502,-1.0128560368030475,stop_loss
2024-10-25 20:00:00+01:00,2024-10-30 09:00:00+00:00,short,1.0797970294952393,1.084788043141365,1.084788043141365,1.067319495379925,29078.555658388224,-147.16696699673003,-1.0140252070948228,stop_loss
2024-11-07 14:00:00+00:00,2024-11-08 17:00:00+00:00,long,1.08119797706604,1.0710458112955095,1.0710458112955095,1.1065783914923664,13643.131501212805,-139.46235183454496,-1.0068950804766403,stop_loss
2024-11-08 14:00:00+00:00,2024-11-12 17:00:00+00:00,short,1.075384497642517,1.0597918085753917,1.075384497642517,1.0597918085753917,22207.0952664412,344.71383490499926,0.0,take_profit
2024-11-15 10:00:00+00:00,2024-11-21 16:00:00+00:00,long,1.057753324508667,1.0509989959597588,1.0509989959597588,1.0746391458809375,20962.276834816228,-143.053464253954,-1.010363724461007,stop_loss
2024-11-20 10:00:00+00:00,2024-11-22 09:00:00+00:00,short,1.0551862716674805,1.0387425021827226,1.0551862716674805,1.0387425021827226,21525.798115625996,352.458456320696,0.0,take_profit
2024-11-13 16:00:00+00:00,2024-11-27 13:00:00+00:00,short,1.056859016418457,1.056859016418457,1.056859016418457,1.0341333505511283,15575.5727579216,-1.0902900930545119,0.0,stop_loss
2024-11-29 19:00:00+00:00,2024-12-02 00:00:00+00:00,long,1.0583131313323975,1.0539913211464882,1.0539913211464882,1.0691176567971707,33483.845698946716,-147.05469460404845,-1.0161969167984808,stop_loss
2024-11-27 09:00:00+00:00,2024-12-02 07:00:00+00:00,long,1.051745891571045,1.051745891571045,1.051745891571045,1.0673552595078946,23179.538777937152,-1.6225677144556006,0.0,stop_loss
2024-12-04 10:00:00+00:00,2024-12-04 15:00:00+00:00,short,1.0503098964691162,1.0541565708518028,1.0541565708518028,1.0406932105123996,37039.96031263585,-145.07346369222913,-1.0181975371544472,stop_loss
2024-12-02 03:00:00+00:00,2024-12-06 13:00:00+00:00,short,1.0526316165924072,1.0603009464740754,1.0603009464740754,1.033458291888237,18581.154701232605,-143.80568581514774,-1.0091272641912716,stop_loss
2024-12-03 11:00:00+00:00,2024-12-10 12:00:00+00:00,long,1.0526316165924072,1.0526316165924072,1.0526316165924072,1.0693615029752253,21291.338029748295,-1.4903936620823806,0.0,stop_loss
2024-11-26 10:00:00+00:00,2024-12-10 13:00:00+00:00,long,1.0519671440124512,1.0519671440124512,1.0519671440124512,1.0754910084605218,15380.889062254832,-1.076662234357838,0.0,stop_loss
2024-12-16 15:00:00+00:00,2024-12-18 15:00:00+00:00,long,1.0508617162704468,1.0474743099808694,1.0474743099808694,1.05933023199439,40771.30452707507,-140.9629647061826,-1.0206647783040912,stop_loss
2024-12-16 18:00:00+00:00,2024-12-18 15:00:00+00:00,long,1.0524100065231323,1.0474743099808694,1.0474743099808694,1.0647492478787894,27981.65815234012,-140.06768945995114,-1.0141823954128075,stop_loss
2024-12-17 09:00:00+00:00,2024-12-18 20:00:00+00:00,short,1.0488777160644531,1.0362357757985592,1.0488777160644531,1.0362357757985592,27311.664682098817,343.36061694547146,0.0,take_profit
2024-12-31 14:00:00+00:00,2025-01-02 16:00:00+00:00,short,1.0379904508590698,1.0247809819877152,1.0379904508590698,1.0247809819877152,26315.199381804923,345.7677431207171,0.0,take_profit
2025-01-16 19:00:00+00:00,2025-01-20 14:00:00+00:00,long,1.0305029153823853,1.0413084229826923,1.0305029153823853,1.0413084229826923,33369.65839848372,358.24022135657276,0.0,take_profit
2025-01-20 06:00:00+00:00,2025-01-22 09:00:00+00:00,long,1.0313531160354614,1.0437571857869625,1.0313531160354614,1.0437571857869625,29069.176864378547,358.54125506396707,0.0,take_profit
2025-01-21 12:00:00+00:00,2025-01-22 09:00:00+00:00,short,1.0354111194610596,1.044145259141922,1.044145259141922,1.0135757702589034,17128.652364689926,-150.80304796366502,-1.0080145271953205,stop_loss
2025-01-27 11:00:00+00:00,2025-01-27 23:00:00+00:00,long,1.0515247583389282,1.045174125313759,1.045174125313759,1.0674013409018515,24048.014552151064,-154.40347642329183,-1.011022523222893,stop_loss
