Trade_ID,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,P&L,P&L_%,R_Multiple,Exit_Reason
1,2024-04-05 00:00:00+01:00,2024-04-09 13:00:00+01:00,short,1.0838934183120728,1.0884464972019194,-152.3061317965333,-1.523061317965333,-1.0153742119768887,stop_loss
2,2024-04-22 14:00:00+01:00,2024-04-23 08:00:00+01:00,short,1.0636035203933716,1.0678834664225578,-150.13134469400566,-1.5013134469400566,-1.016355346427887,stop_loss
3,2024-04-18 19:00:00+01:00,2024-04-23 14:00:00+01:00,short,1.0648492574691772,1.0698246869444847,-149.79363636754573,-1.4979363636754572,-1.014069137216677,stop_loss
4,2024-04-29 19:00:00+01:00,2024-04-30 16:00:00+01:00,long,1.0727311372756958,1.0687553969025612,-145.7381158026162,-1.457381158026162,-1.0176067834994993,stop_loss
5,2024-04-19 15:00:00+01:00,2024-04-30 21:00:00+01:00,long,1.0673497915267944,1.0673497915267944,-1.6100894293969508,-0.016100894293969506,0.0,stop_loss
6,2024-04-30 15:00:00+01:00,2024-05-03 09:00:00+01:00,short,1.0694043636322021,1.0743047844171523,-145.26230810309886,-1.4526230810309886,-1.0142844876127741,stop_loss
7,2024-05-02 19:00:00+01:00,2024-05-09 08:00:00+01:00,long,1.073306918144226,1.073306918144226,-1.6354860950681505,-0.016354860950681505,0.0,stop_loss
8,2024-05-01 21:00:00+01:00,2024-05-15 22:00:00+01:00,long,1.0716965198516846,1.0890117302536964,351.0906641396987,3.5109066413969865,0.0,take_profit
9,2024-05-23 13:00:00+01:00,2024-05-23 19:00:00+01:00,long,1.0856584310531616,1.0810080356001854,-146.23780255742838,-1.4623780255742838,-1.0150524833227248,stop_loss
10,2024-05-23 18:00:00+01:00,2024-05-27 10:00:00+01:00,short,1.0814317464828491,1.086909359693527,-145.91030520329346,-1.4591030520329347,-1.0127792885893334,stop_loss
11,2024-05-24 13:00:00+01:00,2024-05-30 01:00:00+01:00,long,1.0855406522750854,1.0801901921629906,-143.73179334154574,-1.4373179334154573,-1.013082986983075,stop_loss
12,2024-05-31 11:00:00+01:00,2024-06-07 13:00:00+01:00,long,1.0853049755096436,1.0853049755096436,-2.181080768182811,-0.021810807681828106,0.0,stop_loss
13,2024-06-12 12:00:00+01:00,2024-06-13 15:00:00+01:00,long,1.076774001121521,1.076774001121521,-2.001352325050052,-0.02001352325050052,0.0,stop_loss
